timestamp,rtt,rtt_var,cwnd,ssthresh,bytes_sent,pacing_rate,retrans,unacked,send,delivery_rate,minrtt
0,20.193,10.096,10,N/A,37,16393616,N/A,1,5736641,N/A,20.193
0.027781,20.191,7.575,11,N/A,37,16393616,N/A,N/A,6310931,574032,20.18
0.0561249,20.191,7.575,11,N/A,37,16393616,N/A,N/A,6310931,574032,20.18
0.0845609,20.2,2.424,22,N/A,27549,16837592,N/A,8,12616238,5891888,20.145
0.112251,20.159,0.166,42,N/A,78229,21721344,N/A,23,24134530,7600800,20.132
0.140185,20.15,0.016,79,N/A,191173,45021272,N/A,64,45416179,15753992,20.129
0.171388,20.161,0.023,192,N/A,524213,142765360,N/A,181,110318337,49955784,20.129
0.200159,20.24,0.066,527,N/A,1479893,414035536,N/A,506,301618972,143420416,20.125
0.235075,20.291,0.1,1341,N/A,3837237,1062410224,N/A,1320,765568183,371751432,20.125
0.294205,22.967,0.226,4084,N/A,11769381,2876067672,N/A,4055,2059870945,1006374296,20.125
0.3311,55.059,0.167,5274,N/A,21326181,2922673456,N/A,5270,1109609982,991437616,20.125
0.369854,61.84,0.101,5274,N/A,26423141,2922673456,N/A,5270,987936869,985601240,20.125
0.397554,61.706,0.063,5274,N/A,30022869,2922673456,N/A,5258,990082261,988180064,20.125
0.454793,61.559,0.113,5274,N/A,34688325,2922673456,N/A,5252,992446531,985648728,20.125
0.488458,61.048,0.128,5368,1912,37490205,348031480,N/A,2835,1018590486,980480856,20.125
0.530907,30.914,1.013,3844,1912,40943685,1012455216,N/A,2076,1440411982,434609760,20.125
0.560085,24.394,0.078,3844,1912,45309405,1012455216,N/A,2115,1825403624,985177320,20.125
0.616255,26.496,0.138,3844,1912,48958365,1012455216,N/A,2340,1680589372,933113552,20.125
0.646394,30.436,0.127,3768,1912,56777565,1265569016,N/A,3072,1434108030,929119184,20.125
0.675374,34.427,0.135,3796,1912,59840085,1012455216,N/A,2687,1277278415,982452848,20.125
0.725149,37.215,0.15,3828,1912,63423885,1012455216,N/A,3240,1191550504,865542576,20.125
0.755213,43.935,0.152,3804,1912,69809565,1005556768,N/A,3802,1002971116,879834000,20.125
0.788591,46.488,0.09,3804,1912,73393365,1005556768,N/A,3799,947890552,899318800,20.125
0.845003,48.793,0.199,3804,1912,76912005,754167576,N/A,3721,903111840,896719776,20.125
0.873372,49.872,0.126,3804,1912,82841565,1005556768,N/A,3780,883572666,841561792,20.125
0.907258,49.662,0.088,3804,1912,86360205,1005556768,N/A,3780,887308928,885272208,20.125
0.936541,48.933,0.147,3804,1912,89878845,1005556768,N/A,3745,900527987,869347664,20.125
0.970871,47.937,0.133,3806,1912,93527805,1256945960,N/A,3780,919721802,893518720,20.125
0.999479,48.255,0.124,3804,1912,96720645,1005556768,N/A,3438,913180727,890284672,20.125
1.05771,47.756,0.084,3804,1912,101412165,1005556768,N/A,3790,922722506,841938824,20.125
1.09076,47.042,0.167,3804,1912,106950765,1005556768,N/A,3801,936727520,915131400,20.125
1.11875,45.883,0.113,3788,1912,110860365,1256945960,N/A,3780,956349672,921695224,20.125
1.15134,46.154,0.115,3786,1912,113727405,754167576,N/A,3470,950232353,937039864,20.125
1.20211,47.798,0.194,3786,1912,117441525,1005556768,N/A,3652,917549354,912785592,20.125
1.23445,46.238,0.069,3630,1912,123110445,931176352,N/A,3420,909423418,917011616,20.125
1.26319,45.458,0.154,3630,1912,126563925,931176352,N/A,3614,925027938,856734632,20.125
1.29139,44.609,0.126,3632,1912,129887085,1163970440,N/A,3592,943152458,921559472,20.125
1.3194,44.791,0.119,3630,1912,132623805,931176352,N/A,3240,938802885,920892016,20.125
1.3522,45.097,0.153,3630,1912,136142445,931176352,N/A,3378,932432756,892756704,20.125
1.38638,44.392,0.082,3630,1912,139986885,931176352,N/A,3593,947240944,836319760,20.125
1.41706,44.094,0.059,3630,1912,143896485,931176352,N/A,3528,953642672,926844200,20.125
1.44969,43.554,0.154,3638,1912,147545445,1166263768,N/A,3600,967594067,942435992,20.125
1.48517,43.859,0.143,3636,1912,151259565,933011016,N/A,3240,960337080,925002688,20.125
1.51331,44.452,0.074,3658,1912,154778205,939034504,N/A,3413,953259066,878823840,20.125
1.54458,44.244,0.147,3658,1912,158231685,939034504,N/A,3585,957740530,825952272,20.125
1.57851,44.157,0.095,3572,1912,162010965,939394736,N/A,3557,937066558,946164888,20.125
1.6131,43.154,0.121,3578,1912,166050885,1175931808,N/A,3555,960456783,935013752,20.125
1.67445,43.556,0.092,3592,1912,170807565,945040912,N/A,3101,955315640,944273696,20.125
1.70308,42.981,0.101,3602,1912,176541645,947895440,N/A,3510,970791001,845104600,20.125
1.73318,43.227,0.078,3602,1912,179995125,947895440,N/A,3530,965266338,950508000,20.125
1.76187,42.257,0.081,3606,1912,183448605,949129256,N/A,3465,988520340,950145584,20.125
1.7971,42.536,0.093,3588,1912,186967245,712014072,N/A,3345,977134474,943035488,20.125
1.85772,43.19,0.087,3620,1912,192180045,958163128,N/A,3406,970921047,884428480,20.125
1.88559,42.906,0.089,3620,1912,197848965,958163128,N/A,3510,977347690,940508832,20.125
1.94265,42.418,0.091,3630,1912,202540485,1198374648,N/A,3510,991322552,958536632,20.125
1.97456,43.052,0.087,3632,1912,207622965,959592440,N/A,3193,977262102,961844496,20.125
2.03207,43.467,0.09,3658,1912,212705445,966936560,N/A,3600,974860745,850109272,20.125
2.0601,43.194,0.075,3658,1912,218439525,966936560,N/A,3609,981022179,964603776,20.125
2.11268,42.328,0.077,3666,1912,221893005,1210914472,N/A,3600,1003282555,978248608,20.125
2.14123,43.243,0.083,3680,1912,227757405,973104288,N/A,3196,985803945,980443824,20.125
2.19735,43.187,0.09,3680,1912,232318605,973104288,N/A,3609,987082224,849283048,20.125
2.23026,42.607,0.099,3674,1912,238248165,973104288,N/A,3600,998887882,971016464,20.125
2.26334,42.402,0.166,3740,1912,242418405,1226039000,N/A,3735,1021748031,984750824,20.125
2.29658,42.449,0.097,3738,1912,246002205,980831200,N/A,3330,1020070956,975700144,20.125
2.3289,43.471,0.177,3786,1912,250042125,994440792,N/A,3596,1008880035,913613488,20.125
2.36114,42.904,0.084,3786,1912,254016885,994440792,N/A,3690,1022212941,891056456,20.125
2.41138,43.39,0.131,3786,1912,257926485,994507096,N/A,3720,1010763402,989582584,20.125
2.44251,42.725,0.096,3792,1912,264116685,746957432,N/A,3630,1028122364,986399888,20.125
2.47551,43.587,0.122,3820,1912,267765645,1004140440,N/A,3352,1015231147,1001967400,20.125
2.50412,43.299,0.061,3820,1912,271675245,1004140440,N/A,3761,1021983880,875325608,20.125
2.5366,42.933,0.092,3820,1912,275454525,1004140440,N/A,3735,1030696201,977438240,20.125
2.56538,42.365,0.127,3820,1912,279298965,1004331152,N/A,3690,1044515048,1004183256,20.125
2.59408,42.609,0.078,3826,1912,283078245,1256650328,N/A,3822,1040164848,995848672,20.125
2.62458,43.314,0.136,3832,1912,286010445,1007364776,N/A,3330,1024839267,1016551832,20.125
2.68038,43.514,0.15,3828,1912,291092925,1012020472,N/A,3810,1019064025,892431424,20.125
2.70884,43.14,0.133,3828,1912,297022485,1012020472,N/A,3792,1027898748,1006421760,20.125
2.73769,42.196,0.108,3834,1912,300606285,1266379032,N/A,3720,1052541852,1003859216,20.125
2.76625,42.34,0.081,3832,1912,304059765,759827416,N/A,3598,1048414927,1003798560,20.125
2.7945,43.277,0.088,3858,1912,307382925,1020243648,N/A,3384,1032674908,1017936960,20.125
2.82278,43.258,0.11,3858,1912,310966725,1020243648,N/A,3825,1033128485,908015832,20.125
2.85578,42.542,0.157,3842,1912,314811165,1020243648,N/A,3726,1046159748,957537032,20.125
2.88371,42.671,0.131,3842,1912,318785925,1020243648,N/A,3735,1042997071,1021538168,20.125
2.91821,42.575,0.128,3858,1912,322760685,1277139048,N/A,3825,1049702220,1025960280,20.125
2.95914,43.03,0.144,3878,1912,326409645,1027970560,N/A,3375,1043986800,1033940696,20.125
2.98969,43.282,0.109,3878,1912,331492125,1027970560,N/A,3825,1037908415,901258896,20.125
3.0203,42.831,0.102,3878,1912,335466885,1027970560,N/A,3800,1048837337,988469144,20.125
3.0533,42.398,0.088,3880,1912,339571965,1028240560,N/A,3741,1060095288,1028788424,20.125
3.08618,42.779,0.096,3900,1912,343872525,772024784,N/A,3825,1056069567,1030435640,20.125
3.14371,43.748,0.269,3918,1912,348498885,1034005672,N/A,3459,1037444272,1028978016,20.125
3.17269,42.682,0.089,3918,1912,354819405,1034005672,N/A,3806,1063354857,941921456,20.125
3.20153,43.198,0.077,3920,1912,358533525,1034816368,N/A,3829,1051189407,1032993384,20.125
3.23471,42.524,0.138,3924,1912,362508285,1293954520,N/A,3915,1068940269,1037472824,20.125
3.28992,43.452,0.116,3922,1912,367330125,1035163616,N/A,3401,1045577833,1039042256,20.125
3.3184,43.205,0.084,3930,1912,373194525,1037347576,N/A,3870,1053700266,906283568,20.125
3.34673,42.896,0.086,3930,1912,376843485,1037347576,N/A,3834,1061290563,1026127600,20.125
3.39643,42.109,0.084,3934,1912,380557605,1038532176,N/A,3808,1082226032,1029719016,20.125
3.44705,42.464,0.09,3934,1912,386617485,1038532176,N/A,3491,1073178598,1022558280,20.125
3.47686,43.223,0.128,3968,1912,393263805,1048436216,N/A,3930,1063445666,900168496,20.125
3.53536,43.262,0.077,3966,1912,398411445,1048436216,N/A,3921,1061951459,1046498256,20.125
3.56797,42.937,0.136,3972,1912,404992605,787381200,N/A,3951,1071608356,1039365616,20.125
3.60229,43.307,0.125,3978,1912,408641565,1051623632,N/A,3420,1064057820,1057617464,20.125
3.65429,43.504,0.057,3978,1912,413333085,1051623632,N/A,3960,1059239426,926382168,20.125
3.68661,43.142,0.064,3978,1912,419914245,1051623632,N/A,3955,1068127393,1045268768,20.125
3.72307,42.472,0.224,3990,1912,424931565,1315886400,N/A,3960,1088250141,1059123920,20.125
3.75554,42.759,0.129,3988,1912,428515365,1052709120,N/A,3467,1080403938,1053800896,20.125
3.78554,42.913,0.176,4036,1912,432620445,1065903112,N/A,3804,1089483933,984117824,20.125
3.81593,42.685,0.099,4036,1912,436855845,1065903112,N/A,3915,1095303362,953730280,20.125
3.87059,43.002,0.128,4036,1912,441873165,1065903112,N/A,3949,1087229059,1063122672,20.125
3.89969,42.955,0.071,4038,1912,447737565,799911288,N/A,3780,1088958026,1065325072,20.125
3.93844,43.532,0.147,4056,1912,451582005,1071664112,N/A,3543,1079314160,1067827928,20.125
3.99278,43.243,0.096,4056,1912,456534165,1071664112,N/A,3977,1086527392,943911136,20.125
4.02249,42.739,0.105,4056,1912,463897245,1072118000,N/A,3948,1099340275,1066128472,20.125
4.07999,42.985,0.066,4076,1912,468914565,804336624,N/A,3826,1098438618,1074768088,20.125
4.11595,43.454,0.181,4104,1912,475169925,1080016480,N/A,3943,1094047406,987011176,20.125
4.14937,42.931,0.154,4104,1912,479991765,1080016480,N/A,4005,1107375463,1009130552,20.125
4.18201,43.056,0.118,4104,1912,484748445,1080016480,N/A,4018,1104160535,1073824880,20.125
4.2109,43.075,0.143,4108,1912,488788365,1350734064,N/A,4103,1104749205,1077832848,20.125
4.24225,43.219,0.098,4106,1912,492111525,1080587248,N/A,3565,1100532266,1091167016,20.125
4.27481,43.27,0.091,4130,1912,496477245,1087704432,N/A,3994,1105660273,987698232,20.125
4.30829,42.745,0.105,4130,1912,500908125,1087704432,N/A,4005,1119240145,994910552,20.125
4.33622,43.415,0.103,4130,1912,505208685,1087704432,N/A,4052,1101967523,1087112208,20.125
4.37065,42.598,0.078,4098,1912,509444085,1360119280,N/A,4095,1114400488,1087718232,20.125
4.3999,43.237,0.184,4096,1912,513288525,1088095424,N/A,3586,1097394916,1084397896,20.125
4.45132,43.326,0.089,4096,1912,517263285,1088095424,N/A,3828,1095140655,1022580592,20.125
4.48049,42.887,0.132,4096,1912,524235405,1088095424,N/A,4050,1106350736,1087226320,20.125
4.5351,42.069,0.108,4098,1912,529252725,1360119280,N/A,3969,1128413606,1085745272,20.125
4.56346,42.822,0.085,4108,1912,534986805,1091418192,N/A,3551,1111276260,1095951824,20.125
4.59163,42.772,0.087,4126,1912,538831245,1096709592,N/A,3870,1117450295,1039170808,20.125
4.64379,42.674,0.102,4126,1912,542610525,1096709592,N/A,4005,1120016497,965132264,20.125
4.67427,42.354,0.072,4126,1912,550038765,1096709592,N/A,4014,1128478632,1094250536,20.125
4.72969,42.878,0.163,4128,1912,554860605,822858760,N/A,3813,1115228136,1093516240,20.125
4.75775,43.106,0.107,4128,1912,560985645,1097216104,N/A,4005,1109329374,1013295072,20.125
4.79236,42.614,0.062,4126,1912,565090725,1097216104,N/A,4017,1121593467,990090048,20.125
4.82155,43.235,0.096,4126,1912,569717085,1097216104,N/A,4059,1105483613,1097132928,20.125
4.84962,42.568,0.103,4128,1912,573691845,1371520136,N/A,4107,1123349746,1101388216,20.125
4.8801,42.947,0.104,4126,1912,576819525,822912080,N/A,3670,1112896919,1083450104,20.125
4.91386,43.286,0.087,4140,1912,581185245,1100927816,N/A,3751,1107927736,1057928848,20.125
4.9436,43.131,0.122,4140,1912,585811605,1100927816,N/A,4116,1111909300,966203664,20.125
4.97773,43.301,0.101,4140,1912,589981845,1100927816,N/A,4095,1107543937,1097636992,20.125
5.00636,42.489,0.139,4136,1912,594543045,1376159768,N/A,4095,1127619478,1100895352,20.125
5.04123,42.927,0.106,4136,1912,598192005,825695864,N/A,3758,1116113961,1095220448,20.125
5.07126,43.417,0.148,4142,1912,602688045,1102579288,N/A,3772,1105118456,1077281352,20.125
5.11418,42.742,0.124,4142,1912,608031165,1102579288,N/A,4078,1122570961,970767720,20.125
5.14649,43.033,0.082,4142,1912,612657525,1102579288,N/A,4046,1114979853,1095456352,20.125
5.20216,42.577,0.191,4186,1912,618391605,1378224104,N/A,4185,1138892454,1096797224,20.125
5.2299,43.196,0.101,4232,1912,624125685,1116197080,N/A,3735,1134908047,1104369992,20.125
5.25878,43.306,0.091,4232,1912,628035285,1116197080,N/A,4185,1132025308,954023520,20.125
5.28761,43.099,0.16,4232,1912,632010045,1116197080,N/A,4140,1137462308,1090438176,20.125
5.34049,42.937,0.23,4232,1912,637353165,1116197080,N/A,4140,1141753919,1116649120,20.125
5.37067,43.346,0.087,4234,1912,642956925,1116789720,N/A,3735,1131515157,1109791904,20.125
5.40511,43.32,0.116,4246,1912,647322645,1120156920,N/A,3960,1135403139,1061232928,20.125
5.43588,42.845,0.107,4224,1912,652144485,1120156920,N/A,4108,1142042619,1003983536,20.125
5.49048,43.297,0.051,4224,1912,657487605,1120156920,N/A,4160,1130120239,1111459832,20.125
5.51931,43.244,0.112,4224,1912,663547485,840142808,N/A,3974,1131505319,1112445928,20.125
5.5506,43.621,0.092,4224,1912,667391925,1120345576,N/A,3733,1121726141,1117618416,20.125
5.57921,43.252,0.118,4224,1912,671562165,1120345576,N/A,4165,1131296033,984195064,20.125
5.60839,42.648,0.135,4224,1912,675602085,1120345576,N/A,4136,1147317952,1071677160,20.125
5.63816,43.091,0.126,4224,1912,679642005,1120345576,N/A,4137,1135522870,1108935528,20.125
5.68347,43.191,0.096,4202,1912,685245765,840259184,N/A,4056,1126993309,1127889752,20.125
5.71249,43.305,0.116,4210,1912,689611485,1120345576,N/A,3735,1126166493,1119767096,20.125
5.76209,42.918,0.183,4210,1912,693586245,1120345576,N/A,4132,1136321357,976253240,20.125
5.79205,42.952,0.122,4210,1912,700753845,1120345576,N/A,4173,1135421866,1113638480,20.125
5.82555,42.378,0.103,4212,1912,705184725,1400431976,N/A,4185,1151347586,1120332776,20.125
5.85341,42.897,0.086,4210,1912,708768525,1120345576,N/A,3693,1136877637,1104405064,20.125
5.90961,42.739,0.158,4218,1912,714111645,1122974536,N/A,4050,1143248836,1037325120,20.125
5.93725,42.282,0.098,4218,1912,720627645,1122974536,N/A,4115,1155605506,1112496032,20.125
5.99266,42.07,0.077,4220,1912,725840445,1403718168,N/A,4099,1161979558,1122005440,20.125
6.02084,42.958,0.084,4220,1912,731704845,1123318360,N/A,3677,1137959868,1117914944,20.125
6.05479,42.783,0.217,4242,1912,735940245,1129939280,N/A,3984,1148571348,1048168544,20.125
6.10583,42.224,0.107,4242,1912,740696925,1129939280,N/A,4105,1163777188,1032151768,20.125
6.13564,42.534,0.108,4242,1912,747799365,1129939280,N/A,4140,1155295246,1125890552,20.125
6.16388,42.965,0.166,4242,1912,751708965,847469840,N/A,4095,1143705993,1121732608,20.125
6.19241,43.22,0.072,4254,1912,755292765,1129959792,N/A,3735,1140174364,1133191184,20.125
6.24828,43.043,0.085,4254,1912,760701045,1129959792,N/A,4230,1144862951,1006596400,20.125
6.27935,42.876,0.099,4254,1912,767282205,1129959792,N/A,4181,1149322138,1122704576,20.125
6.31475,42.808,0.213,4256,1912,772364685,1412449736,N/A,4237,1151689030,1127035280,20.125
6.34814,43.555,0.111,4254,1912,776143965,1129959792,N/A,3690,1131404799,1120134688,20.125
6.37597,42.734,0.107,4262,1912,780574845,1132331728,N/A,4029,1155309777,1035502296,20.125
6.40826,42.223,0.171,4262,1912,784810245,1132331728,N/A,4117,1169291808,1008071240,20.125
6.4362,42.929,0.07,4262,1912,789110805,1132331728,N/A,4193,1150061916,1128346656,20.125
6.46954,42.168,0.075,4264,1912,793541685,1415414656,N/A,4250,1171366344,1128014760,20.125
6.49806,43.045,0.098,4258,1912,797255805,849248792,N/A,3861,1145886212,1117171376,20.125
6.53109,42.961,0.1,4286,1912,801556365,1138390080,N/A,3870,1155676637,1122610888,20.125
6.56337,42.202,0.061,4286,1912,806052405,1138390080,N/A,4140,1176461400,996868192,20.125
6.61716,42.315,0.072,4286,1912,810548445,1138390080,N/A,4151,1173319721,1133710424,20.125
6.64712,42.175,0.103,4286,1912,818432805,853792560,N/A,4207,1177214558,1132474240,20.125
6.68056,42.95,0.079,4334,1912,822212085,1146387000,N/A,3757,1168918650,1146565864,20.125
6.70905,42.568,0.098,4360,1912,826708125,1153439240,N/A,4213,1186483744,1029214520,20.125
6.74044,42.297,0.092,4360,1912,831073845,1153439240,N/A,4209,1194085633,1093108064,20.125
6.76831,42.539,0.191,4360,1912,835374405,1153439240,N/A,4260,1187292602,1145256808,20.125
6.79641,42.366,0.116,4362,1912,839609805,1441799048,N/A,4354,1192687721,1154009744,20.125
6.82395,43.408,0.081,4360,1912,842802645,1153439240,N/A,3894,1163523774,1122814824,20.125
6.85261,43.528,0.1,4360,1912,846907725,1153439240,N/A,3951,1160316118,1126876360,20.125
6.88076,43.177,0.082,4360,1912,851012805,1153439240,N/A,4320,1169748709,1016048224,20.125
6.90859,42.906,0.081,4360,1912,855052725,1153439240,N/A,4285,1177136997,1147158064,20.125
6.93992,42.774,0.062,4336,1912,859222965,1153439240,N/A,4275,1174269977,1154831696,20.125
6.97085,43.145,0.096,4336,1912,863784165,865079432,N/A,4244,1164172534,1149080952,20.125
7.00573,43.575,0.094,4336,1912,867824085,1153439240,N/A,3822,1152684429,1146785288,20.125
7.03528,42.929,0.169,4336,1912,872580765,1153439240,N/A,4267,1170030143,1015177136,20.125
7.06332,42.572,0.175,4336,1912,876620685,1153439240,N/A,4246,1179841774,1092890848,20.125
7.09245,42.755,0.126,4336,1912,880725765,1153439240,N/A,4251,1174791814,1152407480,20.125
7.12134,42.636,0.098,4338,1912,885026325,1441799048,N/A,4300,1178614129,1149658168,20.125
7.15456,43.353,0.075,4316,1912,888740445,1153386608,N/A,3867,1153243005,1143021936,20.125
7.18354,42.574,0.108,4320,1912,893301645,1154902736,N/A,4095,1175432893,1093941360,20.125
7.21594,41.95,0.087,4320,1912,897732525,1154902736,N/A,4154,1192917282,1028478416,20.125
7.24763,42.364,0.083,4320,1912,902293725,1154902736,N/A,4223,1181259560,1146489472,20.125
7.27671,42.137,0.073,4322,1912,906854925,1443628416,N/A,4285,1188173055,1159546712,20.125
7.32932,43.085,0.126,4322,1912,911611605,1155275952,N/A,3863,1162029662,1145406680,20.125
7.35857,42.871,0.106,4320,1912,917997285,1155275952,N/A,4252,1167289776,1028152992,20.125
7.41134,43.029,0.105,4320,1912,923535885,1155275952,N/A,4281,1163003556,1150538344,20.125
7.4467,43.098,0.109,4322,1912,930051885,1444094944,N/A,4300,1161679150,1148532512,20.125
7.49404,43.953,0.145,4320,1912,934222125,1155275952,N/A,3915,1138554365,1131091472,20.125
7.52266,42.942,0.075,4320,1912,941063925,1155275952,N/A,4320,1165359788,1034770856,20.125
7.5718,42.934,0.134,4320,1912,945169005,1155275952,N/A,4283,1165576932,1117003736,20.125
7.60076,42.982,0.053,4296,1912,952206285,1444094944,N/A,4265,1157807082,1148979488,20.125
7.64714,43.675,0.069,4294,1912,956897805,1155275952,N/A,3825,1138905461,1137212984,20.125
7.67574,42.495,0.111,4294,1912,962306085,1155275952,N/A,4255,1170530557,1024870088,20.125
7.70854,42.313,0.099,4294,1912,966671805,1155275952,N/A,4202,1175565335,1071077808,20.125
7.73655,42.784,0.113,4276,1912,971167845,1149996168,N/A,4275,1157750187,1156886664,20.125
7.76465,42.661,0.115,4278,1912,975207765,1437495216,N/A,4262,1161631279,1148453400,20.125
7.79253,43.065,0.096,4270,1912,978596085,862497128,N/A,3825,1148581911,1141767632,20.125
7.8215,42.922,0.073,4270,1912,982701165,1149996168,N/A,3915,1152408555,1122970384,20.125
7.84993,42.884,0.141,4270,1912,986675925,1149996168,N/A,4230,1153429717,1031575624,20.125
7.89987,42.624,0.091,4268,1912,990781005,1149412416,N/A,4224,1159921922,1134415824,20.125
7.92849,42.782,0.093,4270,1912,998078925,1436765520,N/A,4242,1156179702,1148087992,20.125
7.95683,43.084,0.067,4268,1912,1001336925,1149412416,N/A,3797,1147537647,1128480400,20.125
7.99443,42.94,0.109,4268,1912,1005767805,1149412416,N/A,3960,1151385934,1091228800,20.125
8.02511,42.775,0.082,4266,1912,1011045765,1149412416,N/A,4247,1155285658,1028745488,20.125
8.07287,43.185,0.139,4266,1912,1015150845,1149412416,N/A,4237,1144317332,1136603944,20.125
8.10167,42.694,0.065,4272,1912,1021992645,862059312,N/A,4095,1159105448,1141389680,20.125
8.12939,43.681,0.095,4272,1912,1025446125,1149412416,N/A,3791,1132914723,1125954112,20.125
8.17696,42.475,0.119,4272,1912,1030463445,1149412416,N/A,4215,1165081766,1003521808,20.125
8.20859,42.34,0.115,4288,1912,1036588485,1147812208,N/A,4169,1173174114,1150049800,20.125
8.23976,42.311,0.084,4296,1912,1040954205,1436445952,N/A,4185,1176168467,1146641664,20.125
8.27241,42.65,0.109,4294,1912,1045319925,861867568,N/A,4031,1166276577,1137918016,20.125
8.32751,43.072,0.118,4294,1912,1050728205,1149156760,N/A,4005,1154849926,1101095880,20.125
8.35548,42.954,0.124,4294,1912,1057309365,1149156760,N/A,4247,1158022443,1095761904,20.125
8.38396,43.05,0.088,4294,1912,1061284125,1149156760,N/A,4245,1155440093,1140990520,20.125
8.41257,43.071,0.067,4296,1912,1065389205,1436445952,N/A,4287,1155414641,1144687320,20.125
8.44202,43.855,0.211,4266,1912,1068777525,1149156760,N/A,3887,1126834888,1117832640,20.125
8.47288,43.605,0.094,4266,1912,1073012925,1149156760,N/A,4003,1133295356,1087007656,20.125
8.5011,43.187,0.105,4266,1912,1077313485,1149156760,N/A,4233,1144264339,1018419392,20.125
8.5297,43.246,0.104,4266,1912,1081353405,1149156760,N/A,4230,1142703233,1143009720,20.125
8.56386,42.825,0.053,4266,1912,1085719125,1149156760,N/A,4188,1153936813,1134959736,20.125
8.59294,43.379,0.158,4266,1912,1089889365,861867568,N/A,3998,1139199705,1122206688,20.125
8.62175,44.05,0.186,4266,1912,1093733805,1149156760,N/A,3881,1121846629,1112986384,20.125
8.64955,42.801,0.089,4252,1912,1097838885,1149156760,N/A,4230,1150794795,1017367288,20.125
8.67817,42.867,0.159,4258,1912,1101813645,1149156760,N/A,4185,1150644365,1091910272,20.125
8.70645,42.48,0.082,4252,1912,1105918725,1141443520,N/A,4218,1159490772,1136828704,20.125
8.74174,42.822,0.126,4254,1912,1110349605,1426804400,N/A,4211,1150771473,1131485496,20.125
8.77211,43.302,0.21,4252,1912,1114585005,1141443520,N/A,3783,1137480209,1133331048,20.125
8.80457,42.337,0.063,4252,1912,1119146205,1141443520,N/A,4140,1163407138,1032615496,20.125
8.83263,42.707,0.099,4234,1912,1123316445,1136153488,N/A,4223,1148445360,1028162536,20.125
8.86144,42.849,0.091,4234,1912,1127226045,1136153488,N/A,4182,1144639455,1129357072,20.125
8.88939,42.81,0.188,4240,1912,1131396285,1421569224,N/A,4225,1147305770,1126330488,20.125
8.92113,43.039,0.13,4238,1912,1135110405,852941528,N/A,3853,1140662934,1112178200,20.125
8.95746,43.513,0.1,4238,1912,1139606445,1137255376,N/A,3915,1128237354,1100246744,20.125
8.99108,43.143,0.112,4238,1912,1144558605,1137255376,N/A,4211,1137913265,1006811464,20.125
9.02048,43.107,0.078,4238,1912,1149315285,1137255376,N/A,4236,1138863572,1128063056,20.125
9.05616,42.789,0.111,4240,1912,1153615845,1421569224,N/A,4226,1147868845,1124972992,20.125
9.10234,43.2,0.079,4230,1912,1157720925,852941528,N/A,3780,1134266667,1121990848,20.125
9.13184,42.438,0.089,4230,1912,1164432405,1137255376,N/A,4185,1154633112,1002131016,20.125
9.18496,42.387,0.093,4230,1912,1169384565,1137255376,N/A,4140,1156022365,1108821200,20.125
9.21302,42.789,0.087,4232,1912,1175965725,1421569224,N/A,4230,1145703055,1128390472,20.125
9.24224,42.99,0.118,4230,1912,1179419205,852941528,N/A,3895,1139807397,1123061360,20.125
9.2835,43.341,0.096,4230,1912,1184501685,1137255376,N/A,3954,1130576590,1073376368,20.125
9.31941,43.291,0.107,4222,1912,1189519005,1137255376,N/A,4185,1129741702,1017335152,20.125
