timestamp,rtt,rtt_var,cwnd,ssthresh,bytes_sent,pacing_rate,retrans,unacked,send,delivery_rate,minrtt
0,N/A,N/A,10,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
0.02793,20.182,7.569,11,N/A,37,16401504,N/A,N/A,6313745,573888,20.182
0.0557821,20.182,7.569,11,N/A,37,16401504,N/A,N/A,6313745,573888,20.182
0.092257,20.182,7.569,11,N/A,37,16401504,N/A,N/A,6313745,573888,20.182
0.120942,20.193,1.386,22,N/A,42029,16884952,N/A,18,12620611,5908280,20.132
0.149008,20.156,0.077,43,N/A,95605,21816056,N/A,34,24712840,7634200,20.132
0.17683,20.156,0.018,99,N/A,244749,71016640,N/A,81,56897003,24850248,20.13
0.204766,20.173,0.028,240,N/A,651637,185185920,N/A,221,137815893,64799344,20.13
0.2329,20.195,0.055,593,N/A,1671029,469972736,N/A,572,340149146,162460584,20.13
0.267492,20.312,0.064,1583,N/A,4506213,1247789528,N/A,1540,902790075,436618528,20.13
0.297364,24.21,0.355,4278,N/A,12342789,2874062864,N/A,4257,2046937299,998085712,20.13
0.326087,39.148,0.687,5293,N/A,17407893,2930793304,N/A,5280,1566213140,978438280,20.13
0.354488,53.912,0.517,5293,N/A,20975765,2930793304,N/A,5272,1137299896,981557416,20.13
0.385356,62.001,0.086,5293,N/A,24543637,2930793304,N/A,5283,988921340,987619120,20.13
0.413551,61.986,0.107,5293,N/A,28302645,2930793304,N/A,5286,989160649,984736152,20.13
0.442351,61.95,0.093,5293,N/A,31806805,2930793304,N/A,5292,989735464,982523136,20.13
0.473529,61.919,0.06,5293,N/A,35665725,2930793304,N/A,5290,990230979,985629920,20.13
0.501839,61.991,0.117,5400,1918,36945757,348998384,N/A,3749,1009075511,987001888,20.13
0.534766,61.86,0.135,5400,1918,38206965,348998384,N/A,2115,1011212415,983324784,20.13
0.563027,23.51,1.015,3868,1918,41921085,1015268048,N/A,1980,1905866100,412337000,20.13
0.591115,25.134,0.122,3870,1918,46026165,1269085056,N/A,2520,1783642874,948041712,20.13
0.619554,25.684,0.215,4340,1918,49414485,1149442488,N/A,2070,1957427192,1152568152,20.13
0.650232,27.856,0.108,4340,1918,53584725,1149615432,N/A,2769,1804801838,866004432,20.13
0.680707,29.673,0.117,4340,1918,57885285,1149615432,N/A,2925,1694286388,1083487880,20.13
0.708722,33.441,0.278,4340,1918,62251005,1149615432,N/A,3330,1503380880,999327552,20.13
