timestamp,rtt,rtt_var,cwnd,ssthresh,bytes_sent,pacing_rate,retrans
0,1.799,0.364,282,158,17152421,1450346912,0
0.280676,0.784,0.153,290,158,52829693,1239353808,0
0.581257,1.086,0.101,338,158,87283405,1034879936,0
0.8521,1.139,0.088,250,158,125115301,1005176712,0
1.1494,1.145,0.182,350,158,158283189,1036759720,0
1.42889,1.152,0.092,220,158,194642469,998447792,0
1.7082,0.864,0.098,288,158,229159893,1402093016,0
1.99409,2.115,0.187,270,158,265009477,1289713568,21
2.27676,1.641,0.225,236,158,301863981,1345620216,0
2.59491,1.217,0.133,288,158,337261789,1270206944,0
2.88654,1.347,0.447,340,158,375984205,991418792,0
3.16309,1.953,0.422,180,158,412039405,1597731240,7
3.4367,1.827,0.388,108,158,445634453,1358460120,15
3.71292,1.189,0.175,206,158,479322173,1054961432,0
3.99098,1.539,0.157,202,158,514110373,1158399800,0
4.31201,0.764,0.457,336,158,548933325,2531838680,0
4.56649,4.517,0.414,286,158,590159333,920637976,0
4.8386,0.906,0.158,266,158,621730077,1617764888,0
5.11057,1.5,0.925,378,158,654602573,1234867120,0
5.3921,1.079,0.14,232,158,688442333,795061464,0
5.64934,1.731,0.193,292,158,723210261,2612997920,18
5.93095,1.171,0.124,336,158,754854853,998839472,0
6.19295,1.256,0.333,258,158,789916725,1259954464,0
6.46486,1.619,0.157,220,158,822619805,1150783624,0
6.74752,1.277,0.144,298,158,855899189,1001188168,0
7.02492,1.138,0.08,246,158,891457725,964963136,0
7.2985,1.195,0.128,230,158,925281557,1089567120,0
7.56976,1.26,0.116,236,158,959079325,1007024360,0
7.84944,1.949,0.393,362,158,992229837,1116898408,0
8.12633,1.046,0.103,294,158,1027548005,1045274768,0
8.40046,1.569,0.145,258,158,1062017645,1095102552,0
8.67103,1.466,0.571,320,158,1096035509,1568592632,0
8.95658,1.225,0.123,234,158,1130150389,995349232,0
9.27875,1.531,0.219,288,158,1166703701,1130663168,0
9.55937,1.309,0.223,264,158,1205621597,977579008,0
9.81528,3.459,0.957,542,158,1239302077,1118844488,0
10.094,1.555,0.166,346,158,1273305461,1170566408,0
10.3679,1.411,0.226,256,158,1307311741,1476439088,0
10.6399,1.087,0.078,218,158,1341371597,1026725120,0
10.9384,1.187,0.188,196,158,1374603197,1000337824,0
11.2188,1.15,0.099,290,158,1412507493,1019391936,0
11.5042,1.743,0.07,270,158,1447670725,1216761096,14
11.8084,1.441,0.242,264,158,1484277613,1454734488,0
12.0749,1.502,0.136,242,158,1522074757,1106634136,0
12.3891,0.801,0.189,304,158,1555362829,1244236952,0
12.6727,1.517,0.15,248,158,1593588581,894396784,0
12.9458,1.317,0.265,228,158,1628195781,990794016,0
13.2465,1.417,0.131,234,158,1663324261,839133368,0
13.5305,1.276,0.443,280,158,1701920701,1011727224,0
